region,provincia,distrito,codigo_del_recurso,nombre_del_recurso,categoria,tipo_de_categoria,sub_tipo_categoria,url,latitud,longitud,fecha_de_corte
Ancash,Asuncion,Chacas,1447,Corpus Cristi - Chacas,5. Acontecimientos Programados,Fiestas,Fiestas Religiosas-Patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1447,-77.3695,-9.16247,2025-10-13
Ancash,Huaraz,Huaraz,1448,Nevado San Juan - Parque Nacional Huascarán ,1. Sitios Naturales,A. Montanas,Nevado,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1448,-77.33909741571256,-9.47273383768504,2025-10-13
Puno,Puno,Capachica,1449,Comunidad De Llachon,2. Manifestaciones Culturales,Pueblos,Tradicionales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1449,-69.78404045104,-15.7229892024,2025-10-13
Ancash,Huaraz,Independencia,1455,Nevado Ocshapalca,1. Sitios Naturales,A. Montanas,Nevado,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1455,-77.43564273308287,-9.408546491323388,2025-10-13
Piura,Sechura,Sechura,1458,Museo Etnológico,2. Manifestaciones Culturales,Museos Y Otros,Museos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1458,-80.82448299999999,-5.558242,2025-10-13
Ayacucho,Huamanga,Ayacucho,1465,Casa Velarde Alvarez,2. Manifestaciones Culturales,Arquitectura Y Espacios Urbanos,Casa De Valor Arquitectonico,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1465,-74.22515094280243,-13.160205588418409,2025-10-13
Piura,Sechura,Sechura,1469,Playa De Chulliyachi,1. Sitios Naturales,L. Costas,Playas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1469,-80.87468100000001,-5.568892,2025-10-13
Piura,Ayabaca,Ayabaca,1474,Festividad Del Señor Cautivo De Ayabaca,5. Acontecimientos Programados,Fiestas,Fiestas Religiosas-Patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1474,-79.7162,-4.6394,2025-10-13
Piura,Ayabaca,Ayabaca,1482,Mirador Paisajístico Natural Cerro Yantuma,1. Sitios Naturales,N. Zonas Paisajisticas,Miradores Naturales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1482,-79.71850999999998,-4.612753,2025-10-13
Ayacucho,Huamanga,Andres Avelino Caceres Dorregaray,1508,Templo Del Señor De Amancaes - Conchopata,2. Manifestaciones Culturales,Arquitectura Y Espacios Urbanos,Templo,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1508,-74.2174449563026,-13.1630132217261,2025-10-13
Ayacucho,Huamanga,Carmen Alto,1512,Templo De Carmen Alto,2. Manifestaciones Culturales,Arquitectura Y Espacios Urbanos,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1512,-74.22642230987,-13.17599059879,2025-10-13
Ayacucho,Vilcas Huaman,Vilcas Huaman,1515,Iglesia San Juan Bautista,2. Manifestaciones Culturales,Arquitectura Y Espacios Urbanos,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1515,-73.95379185676575,-13.65401468446282,2025-10-13
Ayacucho,Huanta,Huanta,1519,Iglesia San Pedro Matriz De Huanta,2. Manifestaciones Culturales,Arquitectura Y Espacios Urbanos,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1519,-74.24756672745502,-12.9395830431011,2025-10-13
Lambayeque,Chiclayo,Santa Rosa,1521,Playa Hondos,1. Sitios Naturales,L. Costas,Playas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1521,-79.919616,-6.8858454,2025-10-13
Lambayeque,Chiclayo,Monsefu,1522,Alforjas Labradas De Monsefú,3. Folclore,Artesania Y Artes,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1522,-79.8715,-6.87867,2025-10-13
Piura,Ayabaca,Pacaipampa,1530,Cerro Yambur,1. Sitios Naturales,A. Montanas,Cerros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1530,-79.71850999999998,-4.977682,2025-10-13
Tacna,Tacna,La Yarada Los Palos,1537,Playa Los Palos,1. Sitios Naturales,L. Costas,Playas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1537,-70.44710763558197,-18.29644629237209,2025-10-13
San Martin,Moyobamba,Moyobamba,1566,Mirador Punta De Tahuishco,2. Manifestaciones Culturales,Arquitectura Y Espacios Urbanos,Miradores,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1566,-76.96738881845478,-6.02612235965214,2025-10-13
San Martin,Moyobamba,Moyobamba,1576,Cascada De Asnacyacu ,1. Sitios Naturales,J. Caidas De Agua,Cascadas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1576,-77.00373797553254,-6.069117113116247,2025-10-13
San Martin,San Martin,San Antonio,1577,Catarata De Huacamaillo,1. Sitios Naturales,J. Caidas De Agua,Cataratas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1577,-76.40119034846,-6.388547425944,2025-10-13
San Martin,Moyobamba,Soritor,1591,Cueva De Los Huacharos ,1. Sitios Naturales,M. Cavidades Naturales,Grutas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1591,-77.16466522832306,-6.227735032190953,2025-10-13
San Martin,Moyobamba,Jepelacio,1592,Aguas Termales Y Sulfurosas De Jepelacio,1. Sitios Naturales,K. Agua Termo-Mineral,Ojos De Agua,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1592,-76.88852461772495,-6.130629774129879,2025-10-13
